wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J004638.29+255131.2,00 46 38.30,25 51 31.22,DAZ,7989.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.141544998,,,
SDSS J004943.89+280243.5,00 49 43.90,28 02 43.37,DAZ,9196.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J005751.66+305041.2,00 57 51.65,30 50 41.23,DAZ:,7697.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.068335889,936.04,,
SDSS J005852.25+331738.5,00 58 52.31,33 17 38.22,DAZ:,6697.0,8.562,0.955,,4.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06403183,124.01,H,
SDSS J010350.47+065722.7,01 03 50.48,06 57 22.75,DAZ:,6403.0,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078205381,,,
SDSS J010749.34+210745.2,01 07 49.32,21 07 44.72,DAZ,7404.0,8.7,1.028,,3.71,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,11.16497475,89.57,H,
SDSS J011151.83-050436.3,01 11 51.83,-05 04 36.36,DAZ:,8000.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36322396,423.15,,
SDSS J012532.60+301349.5,01 25 32.60,30 13 49.58,DAZ:,6973.0,8.164,0.694,,2.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.761003215,147.91,H,
SDSS J013442.89+310712.0,01 34 42.88,31 07 12.11,DAZ:E,11103.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.523388225,1910.63,,
SDSS J013831.53+253013.0,01 38 31.53,25 30 12.99,DAZ:,6369.0,6.705,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.005913703,,H,
SDSS J013941.10+102531.3,01 39 41.10,10 25 31.30,DAZ:,7003.0,8.0,0.55455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059087636,16924.01,,
SDSS J014238.79+093036.5,01 42 38.80,09 30 36.36,DAZ:,6307.0,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041211701,24264.95,,
SDSS J014541.31-081753.4,01 45 41.31,-08 17 53.44,DAZ:,7981.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36668174,,,
SDSS J015822.92-080246.4,01 58 22.93,-08 02 46.61,DAZ:,7305.0,8.235,0.741,,2.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.274577476,189.59,H,
SDSS J020228.94+265028.3,02 02 28.93,26 50 28.20,DAZ:,7412.0,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.650204297,273.96,,
SDSS J022223.77-004951.4,02 22 23.78,-00 49 51.19,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0282,165.89,,
SDSS J030152.59+003939.9,03 01 52.59,00 39 39.95,DAZ,6565.0,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J033325.87+003529.5,03 33 25.94,00 35 29.37,DAZ,6294.0,8.403,0.849,,4.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450428349,134.22,H,
SDSS J034536.43+100025.9,03 45 36.47,10 00 25.66,DA/DAZ,9486.0,8.111,0.666,,0.8132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.076759123,325.02,H,
SDSS J060648.60+234921.9,06 06 48.60,23 49 21.99,DAZ,8217.0,5.3020000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342849822,2916.73,,
SDSS J061628.39+631210.1,06 16 28.40,63 12 09.92,DAZ,12443.0,8.174,0.713,,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.686457366,372.24,H,
SDSS J071011.41+303041.6,07 10 11.39,30 30 41.73,DAZ,20522.0,8.06,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.659,115.49,,
SDSS J074323.44+420800.7,07 43 23.48,42 08 00.45,DAZ,6437.0,5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.480884095,1674.48,,
SDSS J074803.14+160024.9,07 48 03.15,16 00 24.87,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5465,281.97,,
SDSS J075312.05+340053.6,07 53 12.04,34 00 53.38,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6025,151.46,,
SDSS J075323.97+264033.4,07 53 23.97,26 40 33.47,DAZ,7869.0,5.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.123519184,,,
SDSS J075454.05+170809.2,07 54 54.06,17 08 09.29,DAZ:,6332.0,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548670502,1822.59,,
SDSS J080148.72+240557.8,08 01 48.72,24 05 57.88,DAZ:,29459.0,7.082000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J080215.11+192900.3,08 02 15.11,19 29 00.15,DAZ,25530.0,8.2,0.752,,0.03708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.565550905,638.75,H,
SDSS J081130.02+523008.3,08 11 30.03,52 30 08.14,DAZ,6860.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.265,,,,,,,,,,,,,,,,,,,,,0.98613352,1014.06,He,
SDSS J081753.79+142016.5,08 17 53.79,14 20 16.46,DAZ+M,21401.0,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556906693,1795.63,,
SDSS J081830.33+290213.2,08 18 30.33,29 02 13.21,DAZ,6660.0,5.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48378971,2067.01,,
SDSS J082422.77+522838.7,08 24 22.74,52 28 38.75,DAZ:,6526.0,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002110401,473843.60,,
SDSS J082611.69+325000.1,08 26 11.65,32 49 58.66,DAZ,6068.0,7.99,0.566,,2.4,,,,,,,,,,,,,,,,,,,,,-9.21,,,,,,,,,,,,,,,,,,,,15.38515365,65.00,H,
SDSS J082852.52+291246.6,08 28 52.53,29 12 46.55,DAZ,7081.0,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395360824,2529.34,,
SDSS J083817.82+070824.1,08 38 17.82,07 08 24.14,DAZ,6638.0,6.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074212311,13474.85,,
SDSS J083913.48+385314.4,08 39 13.47,38 53 13.95,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4387,225.29,,
SDSS J084137.62+041100.9,08 41 37.62,04 11 00.90,DAZ:,6360.0,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012143849,7201.99,,
SDSS J084259.62+104003.5,08 42 59.61,10 40 03.55,DAZ,11823.0,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.599992609,277.78,,
SDSS J084343.45+243107.2,08 43 43.45,24 31 07.17,DAZ,6804.0,5.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173348583,5768.72,,
SDSS J085600.02+014122.8,08 56 00.01,01 41 22.77,DAZ:,6307.0,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324226512,3084.26,,
SDSS J085629.50-005904.1,08 56 29.51,-00 59 04.15,DAZ:,6650.0,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646949279,1545.72,,
SDSS J091718.41+175745.9,09 17 18.40,17 57 45.96,DAZ,7769.0,6.117000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048248231,,,
SDSS J091828.35+193617.2,09 18 28.36,19 36 17.17,DAZ+M,13173.0,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.150302807,869.34,,
SDSS J092104.64+185342.0,09 21 04.65,18 53 42.02,DAZ:,7318.0,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.697030572,1434.66,,
SDSS J092643.79+162755.6,09 26 43.79,16 27 55.69,DAZ,7533.0,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.710546523,,,
SDSS J093154.63+000056.2,09 31 54.63,00 00 56.15,DAZ,6642.0,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.097250559,4318.47,,
SDSS J094714.36+455701.3,09 47 14.31,45 57 01.43,DAZ,7612.0,8.074,0.638,,1.41,,,,,,,,,,,,,,,,,,,,,-5.69,,,,,,,,,,,,,,,,,,,,6.70535746,149.13,H,
SDSS J095122.02+471500.4,09 51 22.03,47 15 00.40,DAZ:,6852.0,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.522086691,1915.39,,
SDSS J095153.69+582439.3,09 51 53.71,58 24 38.89,DAZ,6819.0,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269253706,3713.97,,
SDSS J095421.81+013821.7,09 54 21.81,01 38 21.53,DAZ,6609.0,5.4110000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.766770948,1304.17,,
SDSS J095810.76+562927.5,09 58 10.76,56 29 27.45,DAZ:,7217.0,8.247,0.748,,2.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70518481,269.89,H,
SDSS J095832.09+171057.1,09 58 32.09,17 10 56.82,DAZ+M,9071.0,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.559505673,219.32,,
SDSS J095904.69-020047.6,09 59 04.67,-02 00 47.43,DAZ3.8,13526.0,8.108,0.674,,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.589033475,217.91,,
SDSS J095936.85+451406.0,09 59 36.85,45 14 05.93,DAZ:,7299.0,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184468791,5420.97,,
SDSS J100814.46+161242.9,10 08 14.45,16 12 43.02,DAZ,7466.0,5.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.800041627,1249.93,,
SDSS J101559.31+201704.8,10 15 59.31,20 17 04.84,DAZ,8187.0,5.462999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.385897218,,,
SDSS J101603.47+201940.8,10 16 03.48,20 19 40.87,DAZ:,8130.0,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J101821.24+504043.8,10 18 21.30,50 40 43.36,DAZ,9715.0,8.614,0.991,,2.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.138364237,241.64,H,
SDSS J101821.77+365917.7,10 18 21.76,36 59 17.76,DAZ,8663.0,5.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023657438,42270.00,,
SDSS J102012.79+315447.2,10 20 12.76,31 54 47.01,DAZ:,7559.0,8.022,0.607,,1.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.434101949,155.42,H,
SDSS J102043.35+185410.7,10 20 43.36,18 54 10.68,DAZ:,6681.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208647996,4792.76,,
SDSS J102316.32+202735.3,10 23 16.33,20 27 35.36,DAZ,6533.0,5.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.975045247,1025.59,,
SDSS J102542.85+335410.9,10 25 42.78,33 54 11.21,DAZ,7518.0,7.792,0.477,,1.0,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,4.24272984,235.70,H,
SDSS J102834.43+172520.7,10 28 34.42,17 25 20.75,DAZ,7366.0,5.787999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.738151596,,,
SDSS J102844.04+162638.9,10 28 44.02,16 26 38.66,DAZ,7998.0,8.075,0.64,,1.24,,,,,,,,,,,,,,,,,,,,,-7.55,,,,,,,,,,,,,,,,,,,,4.089437704,244.53,H,
SDSS J103205.26+203317.7,10 32 05.25,20 33 17.82,DAZ:,7590.0,5.885,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.212912782,,H,
SDSS J103547.54+553703.0,10 35 47.53,55 37 03.10,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3207,187.95,,
SDSS J103803.84+170905.4,10 38 03.85,17 09 05.43,DAZ,7173.0,5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031289713,,,
SDSS J103807.09+105255.8,10 38 07.09,10 52 55.84,DAZ,7819.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111832508,8941.94,,
SDSS J104148.91+154014.5,10 41 48.91,15 40 14.62,DAZ,8091.0,5.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.283923638,,,
SDSS J104609.75+293753.2,10 46 09.76,29 37 52.91,DAZ:,7247.0,7.986,0.584,,1.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.360430229,186.55,H,
SDSS J104858.73+394656.0,10 48 58.73,39 46 56.04,DAZ,6758.0,5.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149733257,6678.54,,
SDSS J105607.02+643011.0,10 56 07.03,64 30 10.92,DAZH,28047.0,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41989422,704.28,,
SDSS J105611.03+375836.4,10 56 11.02,37 58 36.33,DAZ,14952.0,8.392,0.857,,0.3737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.982683897,504.37,H,
SDSS J105709.27+202537.7,10 57 09.27,20 25 37.64,DAZ:,6941.0,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.839369082,,,
SDSS J105713.05+203359.7,10 57 13.04,20 33 59.68,DAZ:,6656.0,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344120735,2905.96,,
SDSS J105949.45+323732.6,10 59 49.42,32 37 32.49,DAZ:,7699.0,7.987,0.586,,1.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952750805,252.99,H,
SDSS J110318.87+393558.3,11 03 18.95,39 35 58.24,DAZ,4860.0,7.798,0.463,,5.18,,,,,,,,,,,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,25.72014427,38.88,H,
SDSS J110614.85+042058.8,11 06 14.86,04 20 58.87,DAZ,8113.0,5.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48158077,2076.49,,
SDSS J110709.25+180555.9,11 07 09.26,18 05 55.98,DAZ,6467.0,5.0760000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.306061134,3026.65,,
SDSS J110933.31+255644.7,11 09 33.25,25 56 44.75,DAZ:,6861.0,8.02,0.603,,1.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.482335868,133.65,H,
SDSS J111045.14+325024.3,11 10 45.13,32 50 23.88,DAZ:,8646.0,7.255,0.27,,0.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615351365,619.06,H,
SDSS J111141.46+563708.7,11 11 41.46,56 37 08.47,DAZ:,7114.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.679521145,1471.62,,
SDSS J111805.31+170554.3,11 18 05.31,17 05 54.26,DAZ:,6800.0,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347223708,2879.99,,
SDSS J111929.79+482038.7,11 19 29.91,48 20 37.80,DAZ:,6735.0,7.82,0.489,,1.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.474664189,154.45,H,
SDSS J112155.27+493347.7,11 21 55.28,49 33 47.61,DAZ:,6920.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.123119508,4661.75,,
SDSS J112352.36+173603.8,11 23 52.36,17 36 03.84,DAZ:,7640.0,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.843224081,542.53,,
SDSS J112856.74+391846.0,11 28 56.75,39 18 46.05,DAZ,9387.0,8.589,0.975,,2.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.091356678,141.02,H,
SDSS J113128.44+180109.4,11 31 28.44,18 01 09.39,DAZ:,7074.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57149607,1749.79,,
SDSS J113136.34+234912.8,11 31 36.36,23 49 12.83,DAZ,7615.0,8.511,0.923,,3.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.310841131,120.32,H,
SDSS J113215.03+013754.9,11 32 15.03,01 37 54.84,DAZ:,6447.0,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04454078,,,
SDSS J113307.61-005616.3,11 33 07.61,-00 56 16.46,DAZ,8277.0,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215762636,4634.72,,
SDSS J113327.27+174252.8,11 33 27.27,17 42 52.83,DAZ:,8590.0,7.041,0.218,,0.3657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04005418,961.49,H,
SDSS J113333.57+283224.7,11 33 33.54,28 32 25.27,DAZ:,7236.0,8.122,0.667,,1.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.298281425,158.77,H,
SDSS J113434.71+232656.2,11 34 34.73,23 26 56.01,DAZ:,7740.0,8.752,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J113902.25+485658.6,11 39 02.18,48 56 58.01,DAZ:,7395.0,8.162,0.693,,1.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.233368081,309.28,H,
SDSS J114041.54+511835.9,11 40 41.52,51 18 36.03,DAZ:,6996.0,7.91,0.539,,1.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.081657132,196.79,H,
SDSS J114402.74+153613.0,11 44 02.73,15 36 13.09,DAZ,6930.0,5.7,,,,,,,,,,,,,,,,,,,,,,,-10.252,,,,,,,,,,,,,,,,,,,,,-2.243561425,,He,
SDSS J114511.73+080419.3,11 45 11.73,08 04 19.27,DAZ,7091.0,7.977,0.579,,1.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.152877213,273.84,H,
SDSS J114611.50+160836.2,11 46 11.49,16 08 36.17,DAZ,6953.0,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.009889995,,,
SDSS J115132.68+101245.5,11 51 32.63,10 12 45.02,DAZ,13435.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-9.437,,,,,,,,,,,,,,,,,,,,,2.464705698,405.73,He,
SDSS J115440.45-001858.3,11 54 40.46,-00 18 58.36,DAZ,6302.0,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164407067,6082.46,,
SDSS J115555.71+292912.1,11 55 55.68,29 29 12.50,DAZ:,7270.0,8.439,0.875,,3.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0605077,326.74,H,
SDSS J115654.90+202211.8,11 56 54.90,20 22 11.95,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6675,374.88,,
SDSS J115942.45+095356.4,11 59 42.45,09 53 56.53,DAZ,7807.0,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.006007977,866.26,,
SDSS J120030.25+093846.3,12 00 30.25,09 38 46.28,DAZ,7568.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-10.468,,,,,,,,,,,,,,,,,,,,,0.39034934,2561.81,He,
SDSS J120054.34+234026.6,12 00 54.34,23 40 26.53,DAZ,7023.0,5.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.225185666,1631.86,,
SDSS J120348.34+124116.4,12 03 48.34,12 41 16.35,DAZ,7451.0,5.422000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.188742788,,,
SDSS J120440.03+075916.4,12 04 39.94,07 59 15.84,DAZ,10772.0,9.85,,,,,,,,,,,,,,,,,,,,,,,-9.463,,,,,,,,,,,,,,,,,,,,,8.229017665,121.52,He,
SDSS J120848.50+152544.4,12 08 48.50,15 25 44.41,DAZ,7413.0,5.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.320757489,,,
SDSS J121112.77+110619.0,12 11 12.78,11 06 19.03,DAZ,7535.0,6.187,0.057,,,,,,,,,,,,,,,,,,,,,,-10.25,,,,,,,,,,,,,,,,,,,,,1.307667701,764.72,H,
SDSS J121210.72+075700.1,12 12 10.72,07 57 00.01,DAZ,6591.0,5.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14432707,6928.71,,
SDSS J121352.89+042024.2,12 13 52.89,04 20 24.26,DAZ,7901.0,5.757000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.506227174,1975.40,,
SDSS J121445.23+264524.3,12 14 45.23,26 45 24.26,DAZ,7343.0,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.129792726,,,
SDSS J121816.75+194353.9,12 18 16.74,19 43 54.01,DAZ,7478.0,7.294,0.275,,0.6353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.806776772,1239.50,H,
SDSS J122553.76+071529.6,12 25 53.76,07 15 29.59,DAZ,7153.0,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082933016,,,
SDSS J122737.52+315927.7,12 27 37.50,31 59 27.40,DAZ:,6746.0,8.43,0.868,,3.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.924575954,144.41,H,
SDSS J122833.59+081028.9,12 28 33.62,08 10 28.85,DAZ:,7191.0,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.548809165,645.66,,
SDSS J123019.37+211036.5,12 30 19.37,21 10 36.47,DAZ:,6191.0,6.649,0.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.711460365,1405.56,H,
SDSS J123545.24+565647.9,12 35 45.25,56 56 47.41,DAZ:,7541.0,8.243,0.746,,1.921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.884535386,257.43,H,
SDSS J123907.77+171845.0,12 39 07.77,17 18 45.03,DAZ:,7238.0,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.359876045,735.36,,
SDSS J124133.93+084716.3,12 41 33.93,08 47 16.27,DAZ,7740.0,5.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.665319287,,,
SDSS J124559.89+162753.9,12 45 59.89,16 27 53.92,DAZ,7850.0,5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422491981,2366.91,,
SDSS J124805.12+212813.6,12 48 05.12,21 28 13.78,DAZ:,6763.0,5.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200713468,4982.23,,
SDSS J125037.47+550109.6,12 50 37.47,55 01 09.46,DAZ:,6951.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.287516856,,,
SDSS J125304.33+123550.1,12 53 04.33,12 35 50.16,DAZ,6794.0,5.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.244613256,62679.00,,
SDSS J125313.43-011621.1,12 53 13.43,-01 16 21.15,DAZ,6779.0,5.4910000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816924721,1224.10,,
SDSS J125349.14+110130.7,12 53 49.14,11 01 30.85,DAZ:,8103.0,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.324624773,5386.89,,
SDSS J125525.34+074240.3,12 55 25.34,07 42 40.34,DAZ:,7007.0,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.215353386,,,
SDSS J125636.83+161408.8,12 56 36.83,16 14 08.81,DAZ:,7560.0,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071399387,,,
SDSS J125709.86+222310.7,12 57 09.86,22 23 10.79,DAZ,7215.0,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.314828298,,,
SDSS J130000.65+151542.4,13 00 00.64,15 15 42.45,DAZ:,6655.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.672376618,,,
