wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logohe,lognahe,logmghe,logalhe,logsihe,logphe,logshe,logclhe,logcahe,logsche,logtihe,logvhe,logcrhe,logmnhe,logfehe,logcohe,lognihe,logcuhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J073512.67+163804.1,07 35 12.67,16 38 04.04,DBZAH+M,14704.0,8.0,,,,<-5.23,,,,,,,,,,-6.92,,,,,,,,,,,,,2.403182128,416.11,,
SDSS J075156.89+131018.3,07 51 56.91,13 10 18.14,DBZ,11886.0,7.9242,0.5408,,0.353,<-6.1006,,,,,,,,,,-8.2607,,,,,,,,,,,,,4.527017412,220.9,He,
SDSS J075333.61+233200.1,07 53 33.60,23 32 00.21,DBZA,11150.0,8.5043,0.9074,,1.02,-4.8544,,,,,,,,,,-9.6672,,,,,,,,,,,,,1.421159243,703.65,He,
SDSS J080127.10+141455.0,08 01 27.11,14 14 54.62,DBZA,15747.0,8.11,0.658,,0.224,-5.504,,,,,,,,,,-8.4552,,,,,,,,,,,,,5.549588764,180.19,He,
SDSS J080234.18+405015.2,08 02 34.15,40 50 15.15,DBZA,15092.0,8.21,0.716,,0.254,-4.91,,,,,,,,,,-9.5407,,,,,,,,,,,,,5.030576208,198.78,He,
SDSS J080513.13+540615.6,08 05 13.08,54 06 15.49,DBZA,15250.0,8.78,1.079,,0.354,-5.699,,,,,,,,,,-9.2665,,,,,,,,,,,,,6.169278812,162.09,He,
SDSS J080949.93+310642.0,08 09 49.87,31 06 41.76,DBZA,16592.0,9.27,1.286,,0.337,-4.696,,,,,,,,,,-9.5537,,,,,,,,,,,,,4.457568102,224.34,He,
SDSS J082834.81+090547.8,08 28 34.78,09 05 47.58,DBZ,15361.0,8.18,0.699,,,-5.673,,,,,,,,,,<-7.91,,,,,,,,,,,,,3.960684336,252.48,,
SDSS J083317.64+051201.4,08 33 17.62,05 12 01.52,DBZ,16623.0,9.29,1.291,,0.199,-4.9,,,,,,,,,,-9.3717,,,,,,,,,,,,,2.959126984,337.94,He,
SDSS J083421.14+242212.9,08 34 21.14,24 22 12.95,DBZA,11590.0,8.0367,0.6055,,0.444,-5.245,,,,,,,,,,-8.1798,,,,,,,,,,,,,4.791212339,208.72,He,
SDSS J083930.08+261804.9,08 39 30.08,26 18 04.85,DBZA,17496.0,8.17,0.697,,0.252,-3.462,,,,,,,,,,-8.2943,,,,,,,,,,,,,2.813399606,355.44,He,
SDSS J090028.28+073445.7,09 00 28.27,07 34 45.53,DBZ,14811.0,7.86,0.514,,,-5.331,,,,,,,,,,,,,,,,,,,,,,,2.056715119,486.21,,
SDSS J091827.89+305237.0,09 18 27.90,30 52 36.95,DBZH,19160.0,7.98,0.587,,,<-5.218,,,,,,,,,,<-4.64,,,,,,,,,,,,,1.788450637,559.14,,
SDSS J092110.80+120411.1,09 21 10.78,12 04 10.96,DBZA,14856.0,8.92,1.151,,0.266,-4.467,,,,,,,,,,-7.9717,,,,,,,,,,,,,2.264285765,441.64,He,
SDSS J093130.31+073054.6,09 31 30.30,07 30 54.72,DBZ,13316.0,8.37,0.82,,0.296,-5.45,,,,,,,,,,-8.275,,,,,,,,,,,,,2.82267289,354.27,He,
SDSS J093635.96+181511.9,09 36 35.96,18 15 11.85,DBZA,11520.0,7.2132,0.2552,,0.205,-5.6606,,,,,,,,,,-9.0676,,,,,,,,,,,,,2.269173715,440.69,He,
SDSS J093708.92+284205.7,09 37 08.91,28 42 05.48,DBZA,15465.0,8.33,0.799,,0.0,-4.858,,,,,,,,,,-9.2895,,,,,,,,,,,,,2.640453204,378.72,He,
SDSS J095449.30+181454.7,09 54 49.30,18 14 54.71,DBZA,12873.0,8.19,0.701,,0.0,-5.371,,,,,,,,,,-8.2883,,,,,,,,,,,,,4.443919867,225.03,He,
SDSS J100817.03+434931.7,10 08 16.99,43 49 31.93,DBZA,16456.0,9.24,1.278,,0.456,-4.935,,,,,,,,,,-10.1326,,,,,,,,,,,,,6.847572499,146.04,He,
SDSS J101704.38+194848.3,10 17 04.38,19 48 48.34,DBZA,15683.0,8.06,0.624,,0.437,-5.057,,,,,,,,,,-7.2536,,,,,,,,,,,,,3.122906434,320.21,He,
SDSS J101800.81+370840.6,10 18 00.79,37 08 40.65,DBZ,15034.0,8.15,0.679,,0.249,-5.489,,,,,,,,,,-7.2261,,,,,,,,,,,,,3.900028966,256.41,He,
SDSS J101929.78+375218.9,10 19 29.76,37 52 18.81,DBZA,16822.0,9.26,1.284,,0.35,-4.866,,,,,,,,,,-9.3641,,,,,,,,,,,,,4.333443931,230.76,He,
SDSS J103248.52-025520.4,10 32 48.46,-02 55 20.47,DBZ,16474.0,9.22,1.273,,,-5.145,,,,,,,,,,,,,,,,,,,,,,,12.05019084,82.99,,
SDSS J103729.82+070902.7,10 37 29.81,07 09 02.74,DBZA,13318.0,8.18,0.699,,0.54,-4.43,,,,,,,,,,-7.6459,,,,,,,,,,,,,3.42356889,292.09,He,
SDSS J103923.87+264822.9,10 39 23.87,26 48 22.42,DBZA,14959.0,8.36,0.817,,0.268,-5.285,,,,,,,,,,-9.758,,,,,,,,,,,,,5.589099006,178.92,He,
SDSS J104313.65+150754.0,10 43 13.62,15 07 53.80,DBZ,17783.0,9.91,1.62,,,-4.226,,,,,,,,,,,,,,,,,,,,,,,1.552380235,644.17,,
SDSS J104504.99+525443.3,10 45 04.98,52 54 43.35,DBZ,16500.0,9.52,1.365,,0.248,-4.283,,,,,,,,,,-8.8886,,,,,,,,,,,,,1.621351241,616.77,He,
SDSS J120319.78+243955.7,12 03 19.68,24 39 55.75,DBZA,15300.0,8.6,0.969,-2.33,0.329,-4.912,,,,,,,,,,-9.405,,,,,,,,,,,,,10.07443403,99.26,He,11.62
SDSS J121048.44+055348.2,12 10 48.43,05 53 48.30,DBZA,9391.0,7.6864,0.4131,,0.502,-4.6058,,,,,,,,,,-9.7888,,,,,,,,,,,,,4.915062258,203.46,He,
SDSS J124805.39+141140.4,12 48 05.38,14 11 40.38,DBZ,12755.0,8.0452,0.6125,,0.346,<-6.0905,,,,,,,,,,-7.0676,,,,,,,,,,,,,2.43402339,410.84,He,
SDSS J125353.84+180837.9,12 53 53.79,18 08 37.91,DBZ,13459.0,7.9008,0.531,,0.239,<-6.1059,,,,,,,,,,-8.5065,,,,,,,,,,,,,3.484537716,286.98,He,
SDSS J132330.45+384929.1,13 23 30.45,38 49 28.86,DBZA,10623.0,7.817,0.4805,,0.419,-4.7507,,,,,,,,,,-8.9418,,,,,,,,,,,,,4.543824236,220.08,He,
SDSS J133836.18+133400.0,13 38 36.17,13 33 59.73,DBZA,14421.0,7.89,0.526,,0.302,-5.094,,,,,,,,,,-9.7455,,,,,,,,,,,,,3.847138838,259.93,He,
SDSS J135116.60+190006.3,13 51 16.59,19 00 06.05,DBZ,15148.0,7.93,0.551,,0.126,-5.891,,,,,,,,,,-7.0459,,,,,,,,,,,,,2.216880459,451.08,He,
SDSS J135815.96+290525.7,13 58 15.94,29 05 25.53,DBZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6706,214.11,,
SDSS J140336.35+195455.2,14 03 36.30,19 54 55.40,DBZA,15298.0,8.9,1.142,,0.371,-3.979,,,,,,,,,,-8.8072,,,,,,,,,,,,,3.532689654,283.07,He,
SDSS J141037.54+144544.7,14 10 37.53,14 45 44.54,DBZ,14928.0,8.75,1.062,,0.361,-5.251,,,,,,,,,,-8.8194,,,,,,,,,,,,,3.195085164,312.98,He,
SDSS J142258.01+522925.8,14 22 58.00,52 29 26.07,DBZA,15356.0,7.8,0.483,,0.226,-4.408,,,,,,,,,,-9.2911,,,,,,,,,,,,,2.453835189,407.53,He,
