wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
SDSS J093944.58+501917.6,09 39 44.58,50 19 16.71,DZ,6030.0,7.939,0.536,,2.3,<-3.0444,,,,,,-9.23,,-6.7,,,,,,,,,,,-8.4,,,,,,,-8.7,,,,-7.0,,,,,,,,,,6.642787806,150.54,He,
SDSS J094024.00+642201.9,09 40 23.89,64 22 01.53,DZ,6875.0,7.7357,0.4291,,1.17,<-3.9664,,,,,,,,,,,,,,,,,,,-10.8698,,,,,,,,,,,,,,,,,,,,,6.65816293,150.19,He,
SDSS J094148.75+502214.5,09 41 48.73,50 22 14.21,DZ,11230.0,7.7865,0.4665,,0.347,<-6.0708,,,,,,,,,,,,,,,,,,,-8.0704,,,,,,,,,,,,,,,,,,,,,3.125289087,319.97,He,
SDSS J094210.50+074354.8,09 42 10.48,07 43 54.83,DZ,9777.0,8.003,0.5818,,0.664,<-5.8896,,,,,,,,,,,,,,,,,,,-8.345,,,,,,,,,,,,,,,,,,,,,4.808103934,207.98,He,
SDSS J094415.33+393943.0,09 44 15.33,39 39 43.07,DZ,11106.0,8.3885,0.8309,,0.837,<-5.8926,,,,,,,,,,,,,,,,,,,-8.645,,,,,,,,,,,,,,,,,,,,,4.054787029,246.62,He,
SDSS J094451.59+440856.7,09 44 51.57,44 08 56.46,DZ,10997.0,7.8707,0.5096,,0.408,<-6.0389,,,,,,,,,,,,,,,,,,,-8.1873,,,,,,,,,,,,,,,,,,,,,3.285827118,304.34,He,
SDSS J094530.20+084624.8,09 45 30.14,08 46 24.54,DZ,10880.0,8.0324,0.6015,,0.523,<-5.9908,,,,,,,,,,,,,,,,,,,-9.4653,,,,,,,,,,,,,,,,,,,,,4.58305932,218.19,He,
SDSS J094648.94+202423.2,09 46 48.94,20 24 23.06,DZ,7540.0,8.0,,,0.0,<-4.1892,,,,,,,,-6.5,,,,,,,,,,,-8.0,,,,,,,,,,,-6.9,,,,,,,,,,,338.2396,He,
SDSS J094743.09+423841.3,09 47 43.07,42 38 40.99,DZ,9611.0,8.356,0.8075,,1.17,<-5.6248,,,,,,,,,,,,,,,,,,,-9.0456,,,,,,,,,,,,,,,,,,,,,4.327149994,231.10,He,
SDSS J094757.96+191611.6,09 47 57.96,19 16 11.44,DZ,9996.0,8.0,,,0.0,<-5.8997,,,,,,,,,,,,,,,,,,,-9.4668,,,,,,,,,,,,,,,,,,,,,3.948477027,253.26,He,
SDSS J094813.74+300851.2,09 48 13.69,30 08 50.67,DZ,6284.0,7.21,0.228,,0.996,<-3.7547,,,,,,,,-7.9,,,,,,,,,,,-9.1,,,,,,,,,,,-8.1,,,,,,,,,,4.31783035,231.60,He,
SDSS J095023.70+471603.7,09 50 23.66,47 16 03.49,DZ,6803.0,8.4543,0.8702,,3.8,<-3.2839,,,,,,,,,,,,,,,,,,,-9.3857,,,,,,,,,,,,,,,,,,,,,5.097550975,196.17,He,
