wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
2MASS J01213782+3440431,01 21 37.61,34 40 43.09,DZ,7064.0,8.323,0.799,-3.49,1.97,-4.0,,,,,,,,,,,,,,,,,,,-10.85,,,,,,,,,,,,,,,,,,,,,25.78056021,38.79,He,13.66
2MASS J06214164-4016187,06 21 41.77,-40 16 24.55,DZ,6151.0,8.262,0.756,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.22708128,23.68,He,
2MASS J08541811+4704019,08 54 18.00,47 04 02.81,DZ+dM,6300.0,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.266875408,,,
2MASS J21120843+0912019,21 12 08.43,09 12 01.87,DZA+M,6313.0,6.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468926419,2132.53,,
2MASS J21420390+2252290,21 42 04.02,22 52 27.26,DZ,8839.0,7.87,0.504,-3.2,0.76,-4.0,,,,,,,,,,,,,,,,,,,-10.46,,,,,,,,,,,,,,,,,,,,,21.54461689,46.42,He,12.88
2MASS J21550637+4103067,21 55 06.59,41 03 07.94,DZ,6525.0,8.313,0.775,-3.75,3.62,-2.0,,,,,,,,,,,,,,,,,,,-10.9,,,,,,,,,,,,,,,,,,,,,16.90360309,59.16,He,14.21
2MASS J22280206+1207334,22 28 02.02,12 07 32.64,DZ,7189.0,8.294,0.78,-3.48,1.93,-4.0,,,,,,,,,,,,,,,,,,,-9.73,,,,,,,,,,,,,,,,,,,,,29.48847602,33.91,He,13.54
2QZ J103024.3+002613,10 30 24.19,00 26 14.43,DZ,6747.0,8.0178,0.5845,,1.74,<-3.6561,,,,,,,,,,,,,,,,,,,-10.3683,,,,,,,,,,,,,,,,,,,,,6.535413535,153.01,He,
2QZ J110644.2-003928,11 06 44.27,-00 39 27.45,DZ,11350.0,8.0604,0.6194,,0.487,<-6.018,,,,,,,,,,,,,,,,,,,-8.1891,,,,,,,,,,,,,,,,,,,,,4.123447208,242.52,He,
2QZ J112730.3-013801,11 27 30.50,-01 38 03.39,DZ,7393.0,8.012,0.582,,1.44,-4.0,,,,,,,,,,,,,,,,,,,-9.22,,,,,,,,,,,,,,,,,,,,,10.26528102,97.42,He,
2QZ J113728.3-002343,11 37 28.24,-00 23 42.77,DZ,10003.0,8.1842,0.6947,,0.82,<-5.8027,,,,,,,,,,,,,,,,,,,-9.613,,,,,,,,,,,,,,,,,,,,,4.371487394,228.76,He,
2QZ J114310.2-014529,11 43 10.25,-01 45 29.19,DZ,9583.0,7.9926,0.5752,,0.689,<-5.8767,,,,,,,,,,,,,,,,,,,-9.7613,,,,,,,,,,,,,,,,,,,,,5.379006133,185.91,He,
2QZ J122555.3-024547,12 25 55.36,-02 45 45.52,DZ,6934.0,8.156,0.6717,,2.16,<-3.7202,,,,,,,,,,,,,,,,,,,-10.2152,,,,,,,,,,,,,,,,,,,,,4.441468447,225.15,He,
2QZ J140615.9-003715,14 06 15.99,-00 37 14.94,DZ,7522.0,8.1035,0.6391,,1.5,<-4.0857,,,,,,,,,,,,,,,,,,,-8.7807,,,,,,,,,,,,,,,,,,,,,3.597270228,277.99,He,
2SLAQ J022509.10-001854.6,02 25 09.12,-00 18 55.20,DZ,6207.0,8.2437,0.7277,,3.9,<-3.0198,,,,,,,,,,,,,,,,,,,-10.0143,,,,,,,,,,,,,,,,,,,,,6.726443212,148.67,He,
2SLAQ J090451.98-002951.6,09 04 51.93,-00 29 51.50,DZ,7933.0,8.0,,,0.0,<-4.5671,,,,,,,,,,,,,,,,,,,-10.3531,,,,,,,,,,,,,,,,,,,,,,329.4949,He,
2SLAQ J090945.07-004559.3,09 09 45.03,-00 45 59.33,DZ,9160.0,8.1309,0.6592,,0.952,<-5.5857,,,,,,,,,,,,,,,,,,,-9.4025,,,,,,,,,,,,,,,,,,,,,5.419882906,184.51,He,
2SLAQ J102456.50-001732.4,10 24 56.51,-00 17 32.37,DZ,7370.0,8.0,,,0.0,<-4.0807,,,,,,,,,,,,,,,,,,,-8.8438,,,,,,,,,,,,,,,,,,,,,,355.3735,He,
2SLAQ J151859.71+002840.1,15 18 59.72,00 28 39.39,DZ,8557.0,8.331,0.806,,1.538,,,,,,,,,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,,,,,,,,5.341810465,187.20,He,
2SLAQ J212424.69-011452.5,21 24 24.65,-01 14 54.10,DZ,7732.0,8.0548,0.609,,1.3,<-4.2866,,,,,,,,,,,,,,,,,,,-9.4874,,,,,,,,,,,,,,,,,,,,,8.129715937,123.01,He,
2SLAQ J215144.77-011247.4,21 51 44.74,-01 12 47.53,DZ,6930.0,8.0,,,0.0,<-3.8467,,,,,,,,,,,,,,,,,,,-8.5823,,,,,,,,,,,,,,,,,,,,,,286.5584,He,
2SLAQ J231601.88+004131.2,23 16 01.89,00 41 31.18,DZ,7696.0,8.0,,,0.0,<-4.3074,,,,,,,,,,,,,,,,,,,-8.6863,,,,,,,,,,,,,,,,,,,,,,460.0604,He,
87GB 103758.5+063247,10 40 31.63,06 17 21.70,DZ,7521.0,8.0,,,,,,,,,,,,,,,,,,,,,,,-9.882,,,,,,,,,,,,,,,,,,,,,-0.057881897,,He,
BSO 24,15 06 26.33,41 52 44.44,DZ,9162.0,8.069,0.62,,0.91,-5.0,,,,,,,,,,,,,,,,,,,-10.76,,,,,,,,,,,,,,,,,,,,,10.47993575,95.42,He,
CBS 127,10 18 38.71,37 26 57.14,DZA,10543.0,7.9772,0.5682,,0.526,-3.62,,,,,,,,,,,,,,,,,,,-7.9341,,,,,,,,,,,,,,,,,,,,,7.27956815,137.37,He,12.42
CSO 1241,11 55 47.34,43 27 51.60,DZ,9902.0,7.9289,0.5391,,0.582,<-5.9232,,,,,,,,,,,,,,,,,,,-9.7263,,,,,,,,,,,,,,,,,,,,,6.101023236,163.91,He,
EGGR 346,08 05 37.60,38 32 07.98,DZ,10680.0,8.1107,0.6491,-2.89,0.618,<-5.9537,,,,,,,,,,,,,,,,,,,-9.601,,,,,,,,,,,,,,,,,,,,,22.08984484,45.27,He,12.46
EGGR 391,13 30 58.83,30 29 52.01,DZH,6351.0,8.168,0.694,-3.62,3.43,-3.0,,,,,,-8.8,,-7.15,,,,,,,,,,,-8.16,,,,-9.7,,,-9.0,,,,-7.3,,,-8.66,,,,,,,39.15177821,25.54,He,13.92
EGGR 474,02 51 52.00,73 41 32.79,DZ,7618.0,8.097,0.635,,1.51,-3.0,,,,,,,,,,,,,,,,,,,-9.32,-9.7,,,,,,,,,,,,,,,,,,,,16.36104537,61.12,He,12.71
EGGR 554,23 15 19.44,-02 09 37.76,DZ,6634.0,8.216,0.727,-3.75,2.42,-3.0,-4.0,,,,,,,-10.8,,,,,,,,,,,-9.88,,,,,,,,,,,-9,,,,,,,,,,33.643,29.72,He,14.18
G 163-28,10 57 47.89,-04 13 32.72,DZ,6949.0,8.285,0.773,,2.02,-4.0,,,,,,,,<-8,,,,,,,,,,,-10.3,,,,,,,,,,,,,,,,,,,,,27.50673842,36.35,He,13.81
GALEX 2418435336417843954,01 11 59.37,15 01 27.53,DZ,10838.0,7.9794,0.5701,,0.49,<-6.0107,,,,,,,,,,,,,,,,,,,-8.4585,,,,,,,,,,,,,,,,,,,,,3.766610822,265.49,He,
GALEX 2432438716509192504,16 07 11.79,53 21 58.38,DZ,9657.0,8.0868,0.6324,,0.776,<-5.8363,,,,,,,,,,,,,,,,,,,-9.1557,,,,,,,,,,,,,,,,,,,,,3.591682443,278.42,He,
GALEX 2485743040223777830,09 40 25.15,61 36 48.70,DZ,9205.0,8.2907,0.7634,,1.17,<-5.5251,,,,,,,,,,,,,,,,,,,-8.0027,,,,,,,,,,,,,,,,,,,,,8.716950268,114.72,He,
GALEX 2665262369570030960,23 05 37.05,23 07 53.11,DZA,11055.0,7.9921,0.578,,0.473,-5.5766,,,,,,,,,,,,,,,,,,,-8.3078,,,,,,,,,,,,,,,,,,,,,5.484358303,182.34,He,
GALEX 2684543414064644977,10 55 44.05,35 09 25.57,DZ,10767.0,8.0969,0.6407,,0.593,<-5.9645,,,,,,,,,,,,,,,,,,,-8.5857,,,,,,,,,,,,,,,,,,,,,5.011596649,199.54,He,
GALEX 2691967329460291916,03 14 10.92,05 24 36.96,DZ,14241.0,8.0938,0.6443,,0.274,<-6.0272,,,,,,,,,,,,,,,,,,,-7.4316,,,,,,,,,,,,,,,,,,,,,3.496418339,286.01,He,
GALEX 2736932956989820904,09 30 29.72,30 13 23.95,DZA,11366.0,7.9802,0.5717,,0.432,-4.7059,,,,,,,,,,,,,,,,,,,-9.4207,,,,,,,,,,,,,,,,,,,,,4.017671096,248.90,He,
GD 1,00 05 01.42,40 03 35.82,DZA,8979.0,8.048,0.607,-3.2,0.93,-4.0,,,,,,,,,,,,,,,,,,,-10.27,,,,,,,,,,,,,,,,,,,,,15.59769559,64.11,He,12.5
GD 17,01 49 34.52,24 00 46.86,DZA,8762.0,8.086,0.631,,1.04,-3.0,,,,,,,,,,,,,,,,,,,-8.45,,,,,,,,,,,,,,,,,,,,,22.89381511,43.68,He,
GD 401,22 18 00.99,39 08 40.53,DZ,8354.0,7.999,0.576,,1.04,-4.0,,,,,,,,,,,,,,,,,,,-8.72,,,,,,,,,,,,,,,,,,,,,20.76051796,48.17,He,12.58
GJ 1211,17 08 07.95,02 57 30.72,DZ,6720.0,8.304,0.785,-3.68,2.48,-4.0,,,,,,,,,,,,,,,,,,,-10.01,,,,,,,,,,,,,,,,,,,,,56.03750549,17.85,He,13.89
GJ 1276,22 53 56.06,-06 47 05.39,DZ,4263.0,8.085,0.63,-4.4,8.03,-5.0,,,,,,,,,,,,,,,,,,,-9.25,,,,,,,,,,,,,,,,,,,,,117.1388422,8.54,He,16.04
GJ 283 A,07 40 22.06,-17 24 57.84,DZA,7650.0,8.201,0.72,-3.33,1.34,-3.0,<-8.0,,,,,,,-9.05,,<-9.0,,-9.4,,,,,,,-10.94,,,,,,,,,,,-9.8,,,,,,,,,,109.344,9.15,He,13.28
Gaia DR2 1044511002434919936,09 02 32.21,65 03 23.61,DZ,6403.0,8.127,0.652,,2.64,-4.0,,,,,,,,,,,,,,,,,,,-10.34,,,,,,,,,,,,,,,,,,,,,11.92615138,83.85,He,
Gaia DR2 1056003918305358592,11 14 49.67,65 46 45.61,DZ,5864.0,8.175,0.682,,4.33,-4.0,,,,,,,,,,,,,,,,,,,-10.44,,,,,,,,,,,,,,,,,,,,,14.29655997,69.95,He,
Gaia DR2 1095169656358227456,08 05 37.37,66 24 26.33,DZ,6622.0,8.111,0.643,,2.24,-3.0,,,,,,,,,,,,,,,,,,,-10.86,,,,,,,,,,,,,,,,,,,,,10.24830153,97.58,He,
Gaia DR2 1386691867244096000,16 16 30.49,46 00 30.78,DZ,6414.0,8.133,0.656,,2.66,-2.0,,,,,,,,,,,,,,,,,,,-9.82,,,,,,,,,,,,,,,,,,,,,12.09007954,82.71,He,
Gaia DR2 1467533871993501568,13 03 34.31,33 38 43.14,DZ,12517.0,,0.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8404,352.06,,
Gaia DR2 152931141027253888,04 25 23.50,28 34 31.45,DZ,5957.0,8.135,0.656,,3.75,-2.0,,,,,,,,,,,,,,,,,,,-10.41,,,,,,,,,,,,,,,,,,,,,15.49495462,64.54,He,
Gaia DR2 1572454940873010176,12 23 24.37,54 10 24.41,DZ,5651.0,8.093,0.628,,4.45,-1.0,,,,,,,,,,,,,,,,,,,-8.9,,,,,,,,,,,,,,,,,,,,,11.28875087,88.58,He,
Gaia DR2 1592242645479324288,15 02 23.47,49 33 11.65,DZ,6517.0,8.103,0.637,,2.33,-4.0,,,,,,,,,,,,,,,,,,,-9.81,,,,,,,,,,,,,,,,,,,,,11.12268091,89.91,He,
Gaia DR2 1636125872530936192,16 51 25.88,66 35 08.04,DZ,8965.0,7.958,0.554,-3.25,0.82,-4.0,,,,,,,,,,,,,,,,,,,-9.76,,,,,,,,,,,,,,,,,,,,,16.0138597,62.45,He,12.81
Gaia DR2 165677710612522752,04 16 05.06,29 47 53.86,DZ,6912.0,8.112,0.644,,1.96,-4.0,,,,,,,,,,,,,,,,,,,-9.7,,,,,,,,,,,,,,,,,,,,,10.70346565,93.43,He,
Gaia DR2 1722236328978172928,15 15 33.54,82 30 31.52,DZH,4481.0,7.883,0.508,,6.07,,,,,,,,,,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,,,,,,,26.13265621,38.27,H,
Gaia DR2 1764481588648685440,20 58 32.58,16 57 52.20,DZA,5770.0,8.124,0.648,,4.28,-1.0,,,,,,,,,,,,,,,,,,,-8.07,,,,,,,,,,,,,,,,,,,,,12.54182289,79.73,He,
Gaia DR2 1860318973495642240,20 25 25.89,28 39 36.18,DZ,11197.0,7.913,0.533,,0.4839,<-4,,,,,,,,,,,,,,,,,,,-9.03,,,,,,,,,,,,,,,,,,,,,10.51297208,95.12,,
Gaia DR2 1996825098731349120,23 18 38.31,54 58 14.96,DZ,11198.0,8.012,0.611,-2.56,0.4554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02263454,99.77,He,11.78
Gaia DR2 2162041628635165824,20 56 37.20,43 13 25.04,DZ,9069.0,8.068,0.62,,0.93,-5.0,,,,,,,,,,,,,,,,,,,-10.75,,,,,,,,,,,,,,,,,,,,,13.4070686,74.59,He,
Gaia DR2 2377344185944929152,00 44 34.87,-11 48 38.68,DZ,5296.0,8.05,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08226946,36.92,,
Gaia DR2 2564740446656134656,01 17 57.30,06 33 20.94,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.98903695,83.41,,
Gaia DR2 2714438405021876096,23 09 06.09,10 07 46.65,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.14003363,76.10,,
Gaia DR2 2754002711744980480,00 24 47.22,10 16 49.92,DZ,6266.0,8.333,0.802,,4.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2796248,57.87,,
Gaia DR2 2781085401124115328,00 44 59.14,15 18 22.29,DZ,6133.0,8.075,0.619,,2.75,-2.0,,,,,,,,,,,,,,,,,,,-10.46,,,,,,,,,,,,,,,,,,,,,9.926339046,100.74,He,
Gaia DR2 2818957013992481280,23 17 26.70,18 30 45.51,DZ,4676.0,8.876,1.135,,7.21,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.40974233,37.86,He,
Gaia DR2 290602027028411136,01 41 25.48,22 57 34.44,DZ,7829.0,8.149,0.669,,1.5,-3.0,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,,13.60681249,73.49,He,
Gaia DR2 2935446392608812032,07 03 45.16,-16 56 20.98,DZ,7312.0,8.064,0.614,,1.59,-4.0,,,,,,,,,,,,,,,,,,,-11.31,,,,,,,,,,,,,,,,,,,,,11.48354056,87.08,He,
Gaia DR2 3011223668834627328,05 54 42.97,-10 35 23.79,DZ,6578.0,8.248,0.747,,2.42,-4.0,,,,,,,,,,,,,,,,,,,-11.6,,,,,,,,,,,,,,,,,,,,,65.40972622,15.29,He,
Gaia DR2 3039671225803688320,08 00 05.46,-08 40 43.11,DZ,6979.0,8.137,0.66,,2.0,-4.0,,,,,,,,,,,,,,,,,,,-9.93,,,,,,,,,,,,,,,,,,,,,13.42089689,74.51,He,
Gaia DR2 3230171064244273024,04 45 15.82,00 50 50.82,DZ,6083.0,8.115,0.644,,3.21,-4.0,,,,,,,,,,,,,,,,,,,-10.13,,,,,,,,,,,,,,,,,,,,,12.49261963,80.05,He,
Gaia DR2 3231702860037325824,04 47 48.29,01 06 34.70,DZ,6186.0,8.189,0.692,,3.5,-2.0,,,,,,,,,,,,,,,,,,,-10.92,,,,,,,,,,,,,,,,,,,,,15.35102046,65.14,He,
Gaia DR2 3254930932230273664,04 22 13.80,00 38 54.54,DZ,6861.0,8.286,0.757,,3.03,-2.0,,,,,,,,,,,,,,,,,,,-8.74,,,,,,,,,,,,,,,,,,,,,12.58064614,79.49,He,
Gaia DR2 3276355500412926336,03 33 23.58,06 56 39.00,DZ,7156.0,8.196,0.699,,2.13,-3.0,,,,,,,,,,,,,,,,,,,-8.95,,,,,,,,,,,,,,,,,,,,,9.377586431,106.64,He,
Gaia DR2 3464893058489831552,11 41 22.27,-35 04 09.40,DZA,4600.0,7.842,0.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.17501136,29.26,,
Gaia DR2 3500086050578451712,12 41 11.98,-24 34 29.40,DZ,6551.0,8.321,0.796,,3.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37805596,37.91,,
Gaia DR2 3638333660492606976,13 23 12.74,-01 29 25.53,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8312584,77.93,,
Gaia DR2 396963005168870528,01 30 55.19,44 14 24.67,DZA,4964.0,7.968,0.56,,5.67,,,,,,,,,,,,,,,,,,,,,-9.7,,,,,,,,,,,,,,,,,,,,26.19747302,38.17,H,
Gaia DR2 3978988652273088128,11 37 40.08,20 05 48.33,DZ,6231.0,8.218,0.711,,3.61,-2.0,,,,,,,,,,,,,,,,,,,-10.98,,,,,,,,,,,,,,,,,,,,,9.853466059,101.49,He,
Gaia DR2 401529105161219968,01 15 08.37,47 33 07.21,DZ,6495.0,8.238,0.725,,3.26,-3.0,,,,,,,,,,,,,,,,,,,-10.88,,,,,,,,,,,,,,,,,,,,,10.04891562,99.51,He,
Gaia DR2 4213409341688406912,19 27 43.10,-03 55 52.17,DZA,6848.0,8.133,0.674,,2.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.92511966,23.85,,
Gaia DR2 4268167357267580160,19 12 45.86,02 42 32.22,DZ,6466.0,8.248,0.747,,3.49,,,,,,,,,,,,,,,,,,,,-9.52,,,,,,,,,,,,,,,,,,,,,31.42358986,31.82,He,
Gaia DR2 4288942973032203904,19 22 06.27,02 33 12.83,DZ,4436.0,8.765,1.065,,7.4,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.37754916,39.40,He,
Gaia DR2 4403059253334693248,15 52 30.37,-02 19 28.01,DZ,7701.0,8.035,0.597,,1.34,-4.0,,,,,,,,,,,,,,,,,,,-9.46,,,,,,,,,,,,,,,,,,,,,10.7332113,93.17,He,
Gaia DR2 4469700519955285760,17 59 24.43,03 49 24.26,DZ,11170.0,7.774,0.46,,0.425,<-4,,,,,,,,,,,,,,,,,,,-9.92,,,,,,,,,,,,,,,,,,,,,10.22459995,97.80,,
Gaia DR2 4484289866726156160,18 24 58.14,12 12 59.57,DZ,4203.0,7.713,0.43,,11.74,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.02071487,39.97,He,
Gaia DR2 4494877446445481472,17 57 25.78,10 21 23.34,DZ,8075.0,7.991,0.571,-3.26,1.12,-3.0,,,,,,,,,,,,,,,,,,,-8.42,,,,,,,,,,,,,,,,,,,,,22.40145088,44.64,He,13.05
Gaia DR2 4589139574728058880,18 33 52.66,32 17 55.78,DZA,7743.0,8.158,0.693,,1.36,-3.0,,,,,,,,,,,,,,,,,,,-8.46,,,,,,,,,,,,,,,,,,,,,25.3953326,39.38,He,
Gaia DR2 4598979924619296384,17 33 38.82,30 13 32.95,DZ,7937.0,8.157,0.674,,1.47,-4.0,,,,,,,,,,,,,,,,,,,-7.8,,,,,,,,,,,,,,,,,,,,,16.83813422,59.39,He,
Gaia DR2 4648527839871194880,05 48 57.81,-75 07 45.45,DZH,4720.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9321879,1072.75,,
Gaia DR2 5302618648583292800,08 50 20.44,-58 47 58.86,DZA,5784.0,8.902,1.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.95701736,23.28,,
Gaia DR2 5320436784269889792,08 08 33.97,-53 01 01.32,DZA,4140.0,7.78,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.29342337,30.04,,
Gaia DR2 5398247534240054528,11 32 16.54,-36 02 05.25,DZH,4591.0,7.856,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.44233491,36.44,,
Gaia DR2 5427528254746168192,09 16 00.98,-42 15 23.94,DZH:,5046.0,8.05,0.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.35264761,22.55,,
Gaia DR2 5723025990432651648,08 18 43.98,-15 12 09.35,DZ,3982.0,7.41,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.41247562,32.88,,
Gaia DR2 5790182751914903424,14 10 40.96,-75 10 32.07,DZA,4951.0,7.9,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.00502589,33.33,,
Gaia DR2 5845312191917620224,13 33 12.55,-67 51 22.28,DZ,5514.0,8.203,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.98249335,26.33,,
Gaia DR2 590183142750379136,09 12 35.09,08 08 14.73,DZ,6328.0,8.053,0.605,,2.29,-4.0,,,,,,,,,,,,,,,,,,,-10.48,,,,,,,,,,,,,,,,,,,,,15.79940883,63.29,He,
Gaia DR2 5985749857190372480,15 40 53.54,-48 58 41.86,DZA,4830.0,7.977,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.636663524,1570.69,,
Gaia DR2 6054148143441683072,12 17 25.46,-63 29 45.06,DZ,7996.0,8.305,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6541579,37.52,,
Gaia DR2 608113531698574592,08 47 44.60,12 53 01.59,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.87202655,91.98,,
Gaia DR2 634307433430523648,09 28 10.77,19 37 10.64,DZ,6054.0,8.046,0.6,,2.74,-4.0,,,,,,,,,,,,,,,,,,,-10.44,,,,,,,,,,,,,,,,,,,,,12.78454015,78.22,He,
Gaia DR2 6350786278796634112,23 54 20.12,-81 41 04.38,DZH,4476.0,7.769,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.10451137,26.95,,
Gaia DR2 6468965052723781888,20 27 48.17,-56 30 38.02,DZ,4139.0,7.816,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.99174226,35.72,,
Gaia DR2 6505113009316709760,22 36 01.33,-55 48 54.51,DZ,5132.0,8.06,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.34237285,31.91,,
Gaia DR2 6552878165248320896,23 03 45.52,-37 11 00.98,DZ,4270.0,7.884,0.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89281388,32.37,H,
Gaia DR2 6584418167391671808,21 47 56.47,-40 35 29.59,DZQH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7903899,27.94,,
Gaia DR2 6658005048964693760,19 05 25.49,-49 56 26.43,DZ,10917.0,8.262,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.82264799,29.57,,
Gaia DR2 6692573110423893376,20 17 22.77,-40 10 47.55,DZA,4968.0,7.937,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.31730619,39.50,,
Gaia DR2 6744843579679059968,19 35 38.48,-32 52 25.23,DZAH,5305.0,7.967,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.27478828,34.16,,
Gaia DR2 6788656957673130112,21 12 40.73,-29 22 20.35,DZQ,9773.0,8.312,0.797,,0.78,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.49476296,32.79,He,
Gaia DR2 750160156150755328,10 38 58.69,34 02 42.61,DZ,5784.0,8.214,0.707,,4.88,-1.0,,,,,,,,,,,,,,,,,,,-10.45,,,,,,,,,,,,,,,,,,,,,13.90958097,71.89,He,
Gaia DR2 761361190340648448,11 06 12.25,34 29 11.05,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.49397798,64.54,,
Gaia DR2 770611347305289984,11 25 18.79,40 50 17.83,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.448477364,118.36,,
Gaia DR2 78649033103100416,02 02 10.64,16 02 03.09,DZ,4883.0,8.202,0.708,,6.05,-4.0,,,,,,,,,,,,,,,,,,,-10.15,,,,,,,,,,,,,,,,,,,,,30.98869207,32.27,He,
Gaia DR2 839750257663742464,11 20 35.34,52 57 53.05,DZA,10754.0,8.2,0.726,,0.6706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.38409353,80.75,,
Gaia DR2 847272257226467840,10 27 39.11,50 19 04.56,DZ,5596.0,8.074,0.616,,4.48,-2.0,,,,,,,,,,,,,,,,,,,-10.75,,,,,,,,,,,,,,,,,,,,,13.86552074,72.12,He,
Gaia DR2 866081701427025536,07 26 44.95,22 16 06.78,DZ,7196.0,8.083,0.626,,1.7,-4.0,,,,,,,,,,,,,,,,,,,-8.34,,,,,,,,,,,,,,,,,,,,,11.63783999,85.93,He,
Gaia DR2 898002379406954752,07 17 23.39,36 30 00.30,DZ,7183.0,8.114,0.645,,1.78,-4.0,,,,,,,,,,,,,,,,,,,-9.07,,,,,,,,,,,,,,,,,,,,,9.704442893,103.05,He,
Gaia DR2 950361883331847424,06 54 19.58,39 38 10.19,DZ,9673.0,8.015,0.589,,0.73,-3.0,,,,,,,,,,,,,,,,,,,-8.88,,,,,,,,,,,,,,,,,,,,,20.02975421,49.93,He,
Gaia DR3 1016579210905141632,09 06 24.75,51 52 09.37,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7303,577.93,,
Gaia DR3 1016709503032388992,08 52 50.88,50 09 42.89,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6197,381.72,,
Gaia DR3 1023243282161151232,09 18 06.56,54 18 14.25,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5993,104.17,,
Gaia DR3 1024878049794420608,09 27 04.04,55 35 13.63,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5565,642.47,,
Gaia DR3 1153252526326835456,14 58 42.32,01 10 47.08,DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9413,253.72,,
